film.title,distributor.name,gross.box.o.weekend,adm.weekend,weekend.start,weekend.end
The Lion King (2019),Samfilm,516694,842,2019-10-25,2019-10-27
Gemini Man,Samfilm,448617,321,2019-10-25,2019-10-27
Ready or Not,Sena,399880,292,2019-10-25,2019-10-27
(Nie)znajomi,Bíó Paradís,367200,238,2019-10-25,2019-10-27
Downton Abbey,Myndform,214651,143,2019-10-25,2019-10-27
Toy Story 4,Samfilm,209240,184,2019-10-25,2019-10-27
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,160400,152,2019-10-25,2019-10-27
"Hvítur, hvítur dagur",Sena,150155,102,2019-10-25,2019-10-27
Rambo: Last Blood,Myndform,123500,81,2019-10-25,2019-10-27
Dora and the Lost City of Gold,Samfilm,110920,96,2019-10-25,2019-10-27
Jexi,Myndform,99950,65,2019-10-25,2019-10-27
In Touch,Bíó Paradís,92400,59,2019-10-25,2019-10-27
Dronningen,Sena,91185,74,2019-10-25,2019-10-27
Ad Astra,Sena,77417,57,2019-10-25,2019-10-27
Midsommar,Samfilm,76100,56,2019-10-25,2019-10-27
A Dog´s Journey,Samfilm,50538,46,2019-10-25,2019-10-27
Angry Birds 2 Bíómyndin,Sena,48677,43,2019-10-25,2019-10-27
Síðasta haustið (The Last Autumn),Bíó Paradís,43600,28,2019-10-25,2019-10-27
The Golden Glove (Der Goldene Handschuh),Bíó Paradís,38800,29,2019-10-25,2019-10-27
For Sama,Bíó Paradís,27600,25,2019-10-25,2019-10-27
Gósenlandið (The Bountiful Land),Bíó Paradís,27000,16,2019-10-25,2019-10-27
High Life,Myndform,3200,3,2019-10-25,2019-10-27
Joker,Samfilm,6176119,4011,2019-10-18,2019-10-20
Maleficent : Mistress of Evil,Samfilm,3592973,2548,2019-10-18,2019-10-20
Agnes Joy,Sena,2037410,1175,2019-10-18,2019-10-20
"Abominable-Everest, ungi snjómaðurinn",Myndform,1678899,1552,2019-10-18,2019-10-20
Goðheimar,Netop Films,1271644,1066,2019-10-18,2019-10-20
Gemini Man,Samfilm,1185372,810,2019-10-18,2019-10-20
Ready or Not,Sena,940681,653,2019-10-18,2019-10-20
Downton Abbey,Myndform,458919,320,2019-10-18,2019-10-20
Jexi,Myndform,449862,315,2019-10-18,2019-10-20
Playmobil: The Movie,Myndform,282238,243,2019-10-18,2019-10-20
Toy Story 4,Samfilm,230910,195,2019-10-18,2019-10-20
Ad Astra,Sena,218635,147,2019-10-18,2019-10-20
Dora and the Lost City of Gold,Samfilm,198855,180,2019-10-18,2019-10-20
Angry Birds 2 Bíómyndin,Sena,197192,176,2019-10-18,2019-10-20
"Hvítur, hvítur dagur",Sena,190095,112,2019-10-18,2019-10-20
A Dog´s Journey,Samfilm,187990,149,2019-10-18,2019-10-20
Rambo: Last Blood,Myndform,168200,117,2019-10-18,2019-10-20
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,136000,111,2019-10-18,2019-10-20
The Lion King (2019),Samfilm,80570,63,2019-10-18,2019-10-20
Gósenlandið (The Bountiful Land),Bíó Paradís,80550,48,2019-10-18,2019-10-20
Héraðið,Sena,59820,47,2019-10-18,2019-10-20
Midsommar,Samfilm,51000,34,2019-10-18,2019-10-20
Hustlers,Myndform,39600,27,2019-10-18,2019-10-20
For Sama,Bíó Paradís,24800,18,2019-10-18,2019-10-20
Síðasta haustið (The Last Autumn),Bíó Paradís,20000,13,2019-10-18,2019-10-20
High Life,Myndform,8000,5,2019-10-18,2019-10-20
Joker,Samfilm,10828262,7174,2019-10-11,2019-10-13
"Abominable-Everest, ungi snjómaðurinn",Myndform,2543200,2318,2019-10-11,2019-10-13
Gemini Man,Samfilm,2082658,1490,2019-10-11,2019-10-13
Goðheimar,Netop Films,1679293,1392,2019-10-11,2019-10-13
Downton Abbey,Myndform,574303,394,2019-10-11,2019-10-13
Ad Astra,Sena,361631,240,2019-10-11,2019-10-13
Playmobil: The Movie,Myndform,343958,325,2019-10-11,2019-10-13
Hustlers,Myndform,322846,211,2019-10-11,2019-10-13
A Dog´s Journey,Samfilm,316630,268,2019-10-11,2019-10-13
"Hvítur, hvítur dagur",Sena,308505,177,2019-10-11,2019-10-13
Dora and the Lost City of Gold,Samfilm,295290,254,2019-10-11,2019-10-13
Rambo: Last Blood,Myndform,279200,196,2019-10-11,2019-10-13
Angry Birds 2 Bíómyndin,Sena,227973,205,2019-10-11,2019-10-13
Toy Story 4,Samfilm,187680,175,2019-10-11,2019-10-13
Midsommar,Samfilm,169500,115,2019-10-11,2019-10-13
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,165200,139,2019-10-11,2019-10-13
Pilsudski,Bíó Paradís,137600,91,2019-10-11,2019-10-13
Síðasta haustið (The Last Autumn),Bíó Paradís,114000,75,2019-10-11,2019-10-13
47 Meters Down - Uncaged,Samfilm,105480,77,2019-10-11,2019-10-13
Héraðið,Sena,96885,57,2019-10-11,2019-10-13
The Lion King (2019),Samfilm,95400,81,2019-10-11,2019-10-13
It Chapter Two,Samfilm,90040,64,2019-10-11,2019-10-13
Good Boys,Myndform,90000,64,2019-10-11,2019-10-13
For Sama,Bíó Paradís,24400,33,2019-10-11,2019-10-13
The Art of Self-Defense,Bíó Paradís,16000,11,2019-10-11,2019-10-13
High Life,Myndform,13600,9,2019-10-11,2019-10-13
Skin,Samfilm,11300,8,2019-10-11,2019-10-13
Síðasta Veiðiferðin,Myndform,925390,505,2020-03-20,2020-03-22
Onward,Samfilm,628738,535,2020-03-20,2020-03-22
Bloodshot,Sena,412083,284,2020-03-20,2020-03-22
The Invisible Man,Myndform,151020,101,2020-03-20,2020-03-22
Sonic the Hedgehog,Samfilm,124792,102,2020-03-20,2020-03-22
The Way Back (2020),Samfilm,119940,90,2020-03-20,2020-03-22
Klovn The Final (2020),Sena,66221,44,2020-03-20,2020-03-22
The Gentlemen,Myndform,59200,37,2020-03-20,2020-03-22
1917,Samfilm,52040,34,2020-03-20,2020-03-22
Dolor Y Gloria (Pain and Glory),Samfilm,52020,36,2020-03-20,2020-03-22
Dolittle,Myndform,49636,76,2020-03-20,2020-03-22
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,43264,29,2020-03-20,2020-03-22
Birds of Prey,Samfilm,37190,23,2020-03-20,2020-03-22
Jojo Rabbit,Sena,26608,19,2020-03-20,2020-03-22
Downhill,Sena,23210,15,2020-03-20,2020-03-22
Bad Boys for Life (2020),Sena,22143,16,2020-03-20,2020-03-22
Arctic Dogs (Heimsskautahundar),Samfilm,22030,19,2020-03-20,2020-03-22
Call of the Wild,Sena,19479,16,2020-03-20,2020-03-22
Little Women (2020),Sena,13600,13,2020-03-20,2020-03-22
Frozen 2,Samfilm,8820,18,2020-03-20,2020-03-22
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,5950,7,2020-03-20,2020-03-22
Bombshell,Myndform,3200,2,2020-03-20,2020-03-22
Síðasta Veiðiferðin,Myndform,5206447,2796,2020-03-13,2020-03-15
Onward,Samfilm,1954650,1712,2020-03-13,2020-03-15
Bloodshot,Sena,1318649,909,2020-03-13,2020-03-15
Sonic the Hedgehog,Samfilm,502963,430,2020-03-13,2020-03-15
The Way Back (2020),Samfilm,410062,296,2020-03-13,2020-03-15
The Invisible Man,Myndform,389382,261,2020-03-13,2020-03-15
Klovn The Final (2020),Sena,280008,181,2020-03-13,2020-03-15
Little Women (2020),Sena,158200,106,2020-03-13,2020-03-15
Downhill,Sena,124877,87,2020-03-13,2020-03-15
Dolor Y Gloria (Pain and Glory),Samfilm,122750,85,2020-03-13,2020-03-15
Call of the Wild,Sena,111943,93,2020-03-13,2020-03-15
Birds of Prey,Samfilm,106429,74,2020-03-13,2020-03-15
Dolittle,Myndform,95214,81,2020-03-13,2020-03-15
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,94241,64,2020-03-13,2020-03-15
The Gentlemen,Myndform,85900,58,2020-03-13,2020-03-15
Guns Akimbo,Sena,71770,45,2020-03-13,2020-03-15
Bad Boys for Life (2020),Sena,59253,38,2020-03-13,2020-03-15
Jojo Rabbit,Sena,55200,38,2020-03-13,2020-03-15
1917,Samfilm,53112,37,2020-03-13,2020-03-15
Frozen 2,Samfilm,39230,78,2020-03-13,2020-03-15
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,32950,39,2020-03-13,2020-03-15
Fagra veröld (La Belle Époque),Bíó Paradís,30000,20,2020-03-13,2020-03-15
Bombshell,Myndform,23600,17,2020-03-13,2020-03-15
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,22500,15,2020-03-13,2020-03-15
Gullregn,Sena,15800,8,2020-03-13,2020-03-15
Arctic Dogs (Heimsskautahundar),Samfilm,14060,11,2020-03-13,2020-03-15
The Whistlers (La Gomera),Bíó Paradís,4800,10,2020-03-13,2020-03-15
Sonic the Hedgehog,Samfilm,4110110,3725,2020-02-28,2020-03-01
The Invisible Man,Myndform,2619414,1757,2020-02-28,2020-03-01
Klovn The Final (2020),Sena,1544102,1060,2020-02-28,2020-03-01
Birds of Prey,Samfilm,869818,594,2020-02-28,2020-03-01
Call of the Wild,Sena,744189,564,2020-02-28,2020-03-01
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,684774,476,2020-02-28,2020-03-01
Downhill,Sena,677988,477,2020-02-28,2020-03-01
Frozen 2,Samfilm,583335,1015,2020-02-28,2020-03-01
Dolittle,Myndform,566284,524,2020-02-28,2020-03-01
1917,Samfilm,505160,329,2020-02-28,2020-03-01
Guns Akimbo,Sena,491949,306,2020-02-28,2020-03-01
Little Women (2020),Sena,358247,245,2020-02-28,2020-03-01
The Gentlemen,Myndform,307600,243,2020-02-28,2020-03-01
Arctic Dogs (Heimsskautahundar),Samfilm,268500,256,2020-02-28,2020-03-01
The Turning (2020),Samfilm,244454,159,2020-02-28,2020-03-01
Jojo Rabbit,Sena,225270,153,2020-02-28,2020-03-01
Bad Boys for Life (2020),Sena,220679,144,2020-02-28,2020-03-01
Köflótta Ninjan (Ternet Ninja),Sena,161445,135,2020-02-28,2020-03-01
Gullregn,Sena,135830,75,2020-02-28,2020-03-01
1800 gramów (1800 gram),Bíó Paradís,130400,90,2020-02-28,2020-03-01
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,115610,139,2020-02-28,2020-03-01
Les Misérables (2019),Sena,81300,56,2020-02-28,2020-03-01
The Whistlers (La Gomera),Bíó Paradís,44800,42,2020-02-28,2020-03-01
Fagra veröld (La Belle Époque),Bíó Paradís,34800,35,2020-02-28,2020-03-01
After the Wedding,Myndform,9600,6,2020-02-28,2020-03-01
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,8400,11,2020-02-28,2020-03-01
Judy,Myndform,7000,5,2020-02-28,2020-03-01
Sonic the Hedgehog,Samfilm,5531179,4807,2020-02-21,2020-02-23
Klovn The Final (2020),Sena,3162748,2052,2020-02-21,2020-02-23
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,1396580,957,2020-02-21,2020-02-23
Call of the Wild,Sena,1228824,902,2020-02-21,2020-02-23
Birds of Prey,Samfilm,1088583,722,2020-02-21,2020-02-23
The Turning (2020),Samfilm,810988,552,2020-02-21,2020-02-23
1917,Samfilm,624872,421,2020-02-21,2020-02-23
Dolittle,Myndform,547827,522,2020-02-21,2020-02-23
Bad Boys for Life (2020),Sena,503306,312,2020-02-21,2020-02-23
Little Women (2020),Sena,410352,259,2020-02-21,2020-02-23
The Gentlemen,Myndform,371580,269,2020-02-21,2020-02-23
Jojo Rabbit,Sena,296260,195,2020-02-21,2020-02-23
Arctic Dogs (Heimsskautahundar),Samfilm,246705,205,2020-02-21,2020-02-23
Futro z Misia,Bíó Paradís,230400,151,2020-02-21,2020-02-23
Gullregn,Sena,219755,125,2020-02-21,2020-02-23
Frozen 2,Samfilm,166465,153,2020-02-21,2020-02-23
Joker,Samfilm,156902,106,2020-02-21,2020-02-23
Köflótta Ninjan (Ternet Ninja),Sena,135925,112,2020-02-21,2020-02-23
The Informer,Sena,135101,85,2020-02-21,2020-02-23
Star Wars : The Rise of Skywalker,Samfilm,89610,139,2020-02-21,2020-02-23
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,85600,101,2020-02-21,2020-02-23
Les Misérables (2019),Sena,67600,47,2020-02-21,2020-02-23
Psy 3: W imie zasad,Bíó Paradís,58800,37,2020-02-21,2020-02-23
Like a Boss,Samfilm,55820,42,2020-02-21,2020-02-23
Judy,Myndform,52000,35,2020-02-21,2020-02-23
After the Wedding,Myndform,47800,33,2020-02-21,2020-02-23
Fagra veröld (La Belle Époque),Bíó Paradís,37600,36,2020-02-21,2020-02-23
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,32800,27,2020-02-21,2020-02-23
Sonic the Hedgehog,Samfilm,7787287,6390,2020-02-14,2020-02-16
Klovn The Final (2020),Sena,3577590,2175,2020-02-14,2020-02-16
Birds of Prey,Samfilm,2101584,1402,2020-02-14,2020-02-16
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,2024593,1393,2020-02-14,2020-02-16
The Gentlemen,Myndform,1078766,708,2020-02-14,2020-02-16
1917,Samfilm,1023760,682,2020-02-14,2020-02-16
Dolittle,Myndform,779170,736,2020-02-14,2020-02-16
Bad Boys for Life (2020),Sena,733251,457,2020-02-14,2020-02-16
Joker,Samfilm,572169,385,2020-02-14,2020-02-16
Jojo Rabbit,Sena,556370,374,2020-02-14,2020-02-16
Gullregn,Sena,451950,256,2020-02-14,2020-02-16
Little Women (2020),Sena,411965,270,2020-02-14,2020-02-16
Arctic Dogs (Heimsskautahundar),Samfilm,363615,365,2020-02-14,2020-02-16
Köflótta Ninjan (Ternet Ninja),Sena,287003,254,2020-02-14,2020-02-16
Jumanji: The Next Level (2019),Sena,196878,143,2020-02-14,2020-02-16
Frozen 2,Samfilm,195250,180,2020-02-14,2020-02-16
Like a Boss,Samfilm,181317,130,2020-02-14,2020-02-16
Spies in Disguise,Sena,140739,127,2020-02-14,2020-02-16
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,117230,141,2020-02-14,2020-02-16
The Informer,Sena,96592,65,2020-02-14,2020-02-16
Star Wars : The Rise of Skywalker,Samfilm,96045,61,2020-02-14,2020-02-16
Fagra veröld (La Belle Époque),Bíó Paradís,94400,62,2020-02-14,2020-02-16
Psy 3: W imie zasad,Bíó Paradís,94400,61,2020-02-14,2020-02-16
Richard Jewell,Samfilm,79800,51,2020-02-14,2020-02-16
Jak zostalem gangsterem. Historia prawdziwa,Bíó Paradís,67200,43,2020-02-14,2020-02-16
Judy,Myndform,59500,43,2020-02-14,2020-02-16
After the Wedding,Myndform,56200,38,2020-02-14,2020-02-16
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,34000,31,2020-02-14,2020-02-16
Birds of Prey,Samfilm,4265796,2838,2020-02-07,2020-02-09
The Gentlemen,Myndform,2040074,1320,2020-02-07,2020-02-09
1917,Samfilm,2010340,1333,2020-02-07,2020-02-09
Dolittle,Myndform,1791066,1599,2020-02-07,2020-02-09
Bad Boys for Life (2020),Sena,1314566,859,2020-02-07,2020-02-09
Little Women (2020),Sena,857261,513,2020-02-07,2020-02-09
Gullregn,Sena,787230,456,2020-02-07,2020-02-09
Köflótta Ninjan (Ternet Ninja),Sena,723197,648,2020-02-07,2020-02-09
Jojo Rabbit,Sena,693615,463,2020-02-07,2020-02-09
Spies in Disguise,Sena,641267,608,2020-02-07,2020-02-09
Arctic Dogs (Heimsskautahundar),Samfilm,582407,542,2020-02-07,2020-02-09
Psy 3: W imie zasad,Bíó Paradís,576800,369,2020-02-07,2020-02-09
Like a Boss,Samfilm,467522,360,2020-02-07,2020-02-09
Frozen 2,Samfilm,402150,338,2020-02-07,2020-02-09
Star Wars : The Rise of Skywalker,Samfilm,324115,224,2020-02-07,2020-02-09
The Informer,Sena,297345,201,2020-02-07,2020-02-09
Jumanji: The Next Level (2019),Sena,290790,222,2020-02-07,2020-02-09
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,252000,212,2020-02-07,2020-02-09
Fagra veröld (La Belle Époque),Bíó Paradís,218400,169,2020-02-07,2020-02-09
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,217590,294,2020-02-07,2020-02-09
Joker,Samfilm,208062,136,2020-02-07,2020-02-09
Bombshell,Myndform,111358,66,2020-02-07,2020-02-09
Richard Jewell,Samfilm,104712,75,2020-02-07,2020-02-09
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,82800,75,2020-02-07,2020-02-09
Les Misérables (2019),Sena,78205,52,2020-02-07,2020-02-09
After the Wedding,Myndform,76100,54,2020-02-07,2020-02-09
Judy,Myndform,72900,51,2020-02-07,2020-02-09
The Lighthouse,Myndform,21700,15,2020-02-07,2020-02-09
The Gentlemen,Myndform,2568259,1727,2020-01-31,2020-02-02
Bad Boys for Life (2020),Sena,2163066,1429,2020-01-31,2020-02-02
1917,Samfilm,2145513,1383,2020-01-31,2020-02-02
Dolittle,Myndform,2137176,2021,2020-01-31,2020-02-02
Little Women (2020),Sena,1108066,726,2020-01-31,2020-02-02
Köflótta Ninjan (Ternet Ninja),Sena,1009604,953,2020-01-31,2020-02-02
Gullregn,Sena,961507,570,2020-01-31,2020-02-02
Jojo Rabbit,Sena,850140,567,2020-01-31,2020-02-02
Like a Boss,Samfilm,784084,571,2020-01-31,2020-02-02
Arctic Dogs (Heimsskautahundar),Samfilm,739095,709,2020-01-31,2020-02-02
Fagra veröld (La Belle Époque),Bíó Paradís,583200,431,2020-01-31,2020-02-02
Star Wars : The Rise of Skywalker,Samfilm,412889,282,2020-01-31,2020-02-02
Spies in Disguise,Sena,412079,380,2020-01-31,2020-02-02
Frozen 2,Samfilm,369327,332,2020-01-31,2020-02-02
Bombshell,Myndform,340858,232,2020-01-31,2020-02-02
Richard Jewell,Samfilm,302681,212,2020-01-31,2020-02-02
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,232400,207,2020-01-31,2020-02-02
Jumanji: The Next Level (2019),Sena,207671,166,2020-01-31,2020-02-02
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,181600,215,2020-01-31,2020-02-02
Joker,Samfilm,150410,102,2020-01-31,2020-02-02
Jak zostalem gangsterem. Historia prawdziwa,Bíó Paradís,145600,92,2020-01-31,2020-02-02
Playing With Fire,Samfilm,144075,124,2020-01-31,2020-02-02
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,140800,105,2020-01-31,2020-02-02
Judy,Myndform,15100,10,2020-01-31,2020-02-02
Bad Boys for Life (2020),Sena,4258209,2984,2020-01-24,2020-01-26
1917,Samfilm,3996682,2635,2020-01-24,2020-01-26
Dolittle,Myndform,3820338,3574,2020-01-24,2020-01-26
Little Women (2020),Sena,1570862,1059,2020-01-24,2020-01-26
Gullregn,Sena,1262678,742,2020-01-24,2020-01-26
Jojo Rabbit,Sena,1188762,834,2020-01-24,2020-01-26
Arctic Dogs (Heimsskautahundar),Samfilm,873751,834,2020-01-24,2020-01-26
Star Wars : The Rise of Skywalker,Samfilm,714071,487,2020-01-24,2020-01-26
Bombshell,Myndform,707368,509,2020-01-24,2020-01-26
Spies in Disguise,Sena,666082,641,2020-01-24,2020-01-26
Frozen 2,Samfilm,565294,525,2020-01-24,2020-01-26
Richard Jewell,Samfilm,523508,381,2020-01-24,2020-01-26
Jak zostalem gangsterem. Historia prawdziwa,Bíó Paradís,452000,305,2020-01-24,2020-01-26
Fagra veröld (La Belle Époque),Bíó Paradís,429200,354,2020-01-24,2020-01-26
Jumanji: The Next Level (2019),Sena,402294,304,2020-01-24,2020-01-26
Playing With Fire,Samfilm,330042,289,2020-01-24,2020-01-26
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,193700,230,2020-01-24,2020-01-26
Portrait of a Lady on Fire (Portrait de la jeune fille en feu),Bíó Paradís,136000,140,2020-01-24,2020-01-26
Joker,Samfilm,128980,84,2020-01-24,2020-01-26
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,116000,89,2020-01-24,2020-01-26
The Grudge (2020),Sena,99176,70,2020-01-24,2020-01-26
Judy,Myndform,51500,36,2020-01-24,2020-01-26
Knives Out,Myndform,41100,30,2020-01-24,2020-01-26
Bad Boys for LIfe (2020),Sena,5759553,3979,2020-01-17,2020-01-19
1917,Samfilm,4611491,3048,2020-01-17,2020-01-19
Dolittle,Myndform,4278322,4093,2020-01-17,2020-01-19
Gullregn,Sena,1963023,1143,2020-01-17,2020-01-19
Star Wars : The Rise of Skywalker,Samfilm,1314044,889,2020-01-17,2020-01-19
Frozen 2,Samfilm,1070224,969,2020-01-17,2020-01-19
Jojo Rabbit,Sena,1054566,791,2020-01-17,2020-01-19
Spies in Disguise,Sena,960288,939,2020-01-17,2020-01-19
Jumanji: The Next Level (2019),Sena,728266,555,2020-01-17,2020-01-19
Playing With Fire,Samfilm,444623,374,2020-01-17,2020-01-19
Joker,Samfilm,282453,179,2020-01-17,2020-01-19
Knives Out,Myndform,227700,147,2020-01-17,2020-01-19
The Grudge (2020),Sena,214027,141,2020-01-17,2020-01-19
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,204800,156,2020-01-17,2020-01-19
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,185404,222,2020-01-17,2020-01-19
Judy,Myndform,88900,62,2020-01-17,2020-01-19
Cats,Myndform,49880,36,2020-01-17,2020-01-19
Sword of Trust,Bíó Paradís,38000,32,2020-01-17,2020-01-19
The Lighthouse,Myndform,32600,21,2020-01-17,2020-01-19
1917,Samfilm,5271483,3576,2019-01-10,2019-01-12
Star Wars : The Rise of Skywalker,Samfilm,2038864,1425,2019-01-10,2019-01-12
Spies in Disguise,Sena,1777436,1717,2019-01-10,2019-01-12
Gullregn,Sena,1660340,962,2019-01-10,2019-01-12
Playing With Fire,Samfilm,1314772,1088,2019-01-10,2019-01-12
Frozen 2,Samfilm,1250359,1087,2019-01-10,2019-01-12
Jumanji: The Next Level (2019),Sena,1206350,967,2019-01-10,2019-01-12
Jojo Rabbit,Sena,860961,577,2019-01-10,2019-01-12
The Grudge (2020),Sena,621157,426,2019-01-10,2019-01-12
Knives Out,Myndform,508885,344,2019-01-10,2019-01-12
Joker,Samfilm,334330,219,2019-01-10,2019-01-12
Cats,Myndform,239414,199,2019-01-10,2019-01-12
Hvolpasveitin (Paw Patrol - The Mighty Pups),Samfilm,183700,224,2019-01-10,2019-01-12
Parasite // Sníkjudýrin (Gisaengchung),Bíó Paradís,181600,148,2019-01-10,2019-01-12
Judy,Myndform,80900,54,2019-01-10,2019-01-12
The Lighthouse,Myndform,69200,46,2019-01-10,2019-01-12
Á Skjön (Askew) - Verk og dagar Magnúsar Pálssonar,Bíó Paradís,24750,15,2019-01-10,2019-01-12
Ford v Ferrari,Sena,22465,15,2019-01-10,2019-01-12
Amazing Grace,Myndform,16200,12,2019-01-10,2019-01-12
Sorry We Missed You,Bíó Paradís,7200,7,2019-01-10,2019-01-12
Joker,Samfilm,17666496,11789,2019-10-04,2019-10-06
"Abominable-Everest, ungi snjómaðurinn",Myndform,3960857,3847,2019-10-04,2019-10-06
Downton Abbey,Myndform,1225907,863,2019-10-04,2019-10-06
Ad Astra,Sena,1093720,769,2019-10-04,2019-10-06
A Dog´s Journey,Samfilm,831636,702,2019-10-04,2019-10-06
Rambo: Last Blood,Myndform,751410,510,2019-10-04,2019-10-06
Dora and the Lost City of Gold,Samfilm,650192,521,2019-10-04,2019-10-06
Playmobil: The Movie,Myndform,589805,545,2019-10-04,2019-10-06
Hustlers,Myndform,477700,315,2019-10-04,2019-10-06
Toy Story 4,Samfilm,391510,394,2019-10-04,2019-10-06
It Chapter Two,Samfilm,355800,231,2019-10-04,2019-10-06
"Hvítur, hvítur dagur",Sena,348330,204,2019-10-04,2019-10-06
Good Boys,Myndform,259300,177,2019-10-04,2019-10-06
Héraðið,Sena,222700,150,2019-10-04,2019-10-06
Angry Birds 2 Bíómyndin,Sena,221867,202,2019-10-04,2019-10-06
47 Meters Down - Uncaged,Samfilm,212814,141,2019-10-04,2019-10-06
The Lion King (2019),Samfilm,207670,192,2019-10-04,2019-10-06
Midsommar,Samfilm,191170,125,2019-10-04,2019-10-06
Angel Has Fallen,Samfilm,127490,87,2019-10-04,2019-10-06
Once Upon a Time in Hollywood,Sena,96998,69,2019-10-04,2019-10-06
The Secret Life of Pets 2,Myndform,67450,73,2019-10-04,2019-10-06
Ad Astra,Sena,3027926,2078,2019-09-27,2019-09-29
Rambo: Last Blood,Myndform,1550156,1078,2019-09-27,2019-09-29
Downton Abbey,Myndform,1226184,881,2019-09-27,2019-09-29
Playmobil: The Movie,Myndform,828423,839,2019-09-27,2019-09-29
It Chapter Two,Samfilm,771202,520,2019-09-27,2019-09-29
Hustlers,Myndform,691737,464,2019-09-27,2019-09-29
Dora and the Lost City of Gold,Samfilm,666882,611,2019-09-27,2019-09-29
"Hvítur, hvítur dagur",Sena,615390,368,2019-09-27,2019-09-29
A Dog´s Journey,Samfilm,588556,488,2019-09-27,2019-09-29
Midsommar,Samfilm,537454,352,2019-09-27,2019-09-29
Toy Story 4,Samfilm,499090,485,2019-09-27,2019-09-29
47 Meters Down - Uncaged,Samfilm,432046,285,2019-09-27,2019-09-29
Good Boys,Myndform,389592,301,2019-09-27,2019-09-29
Angry Birds 2 Bíómyndin,Sena,367653,440,2019-09-27,2019-09-29
The Lion King (2019),Samfilm,292240,318,2019-09-27,2019-09-29
Angel Has Fallen,Samfilm,243910,163,2019-09-27,2019-09-29
Once Upon a Time in Hollywood,Sena,232747,160,2019-09-27,2019-09-29
Héraðið,Sena,167170,105,2019-09-27,2019-09-29
The Secret Life of Pets 2,Myndform,70905,124,2019-09-27,2019-09-29
Aladdin (2019),Samfilm,18560,14,2019-09-27,2019-09-29
It Chapter Two,Samfilm,5419136,3504,2019-09-13,2019-09-15
"Hvítur, hvítur dagur",Sena,2980743,1741,2019-09-13,2019-09-15
Hustlers,Myndform,2099708,1428,2019-09-13,2019-09-15
Playmobil: The Movie,Myndform,2037321,1977,2019-09-13,2019-09-15
Dora and the Lost City of Gold,Samfilm,1250142,1099,2019-09-13,2019-09-15
Once Upon a Time in Hollywood,Sena,1173576,752,2019-09-13,2019-09-15
Good Boys,Myndform,1038095,747,2019-09-13,2019-09-15
Angry Birds 2 Bíómyndin,Sena,947529,903,2019-09-13,2019-09-15
Angel Has Fallen,Samfilm,781184,562,2019-09-13,2019-09-15
The Lion King (2019),Samfilm,747670,651,2019-09-13,2019-09-15
Toy Story 4,Samfilm,743638,658,2019-09-13,2019-09-15
Héraðið,Sena,643155,393,2019-09-13,2019-09-15
Skin,Samfilm,302705,213,2019-09-13,2019-09-15
Aladdin (2019),Samfilm,245330,409,2019-09-13,2019-09-15
The Secret Life of Pets 2,Myndform,199140,197,2019-09-13,2019-09-15
The Art of Self-Defense,Bíó Paradís,116000,120,2019-09-13,2019-09-15
KAF,Bíó Paradís,95200,67,2019-09-13,2019-09-15
Polityka (Politics),Bíó Paradís,60800,45,2019-09-13,2019-09-15
Blinded by the Light,Myndform,55200,39,2019-09-13,2019-09-15
The Man Who Killed Don Quixote,Myndform,28600,19,2019-09-13,2019-09-15
Apollo 11,Bíó Paradís,14400,12,2019-09-13,2019-09-15
The Apparition (L'apparition),Bíó Paradís,4800,9,2019-09-13,2019-09-15
Wild Rose,Myndform,4500,3,2019-09-13,2019-09-15
It Chapter Two,Samfilm,9701104,6449,2019-09-06,2019-09-08
"Hvítur, hvítur dagur",Sena,4057325,2410,2019-09-06,2019-09-08
Polityka (Politics),Bíó Paradís,1791200,1131,2019-09-06,2019-09-08
